ID;Systeem;Subthema;Categorie;Onderwerp;Omschrijving melding;Toelichting melding;Soort melding;Antwoord of oplossing
342;DocBase;Kaski Jaarrapportage per locatie;2. Kaski Jaarrapportage;2.12. Aantal uitvaarten totaal;2.12. Aantal uitvaarten totaal;;Procedure;"Voor een goede selectie is het noodzakelijk dat u alle uitvaarten in DocBase heeft geregistreerd.
De selectie;
Ga naar 02. Kerkelijke data. Klik op Zoek&Vind.
Vul de volgende selectiecriteria in;

Klik op Vind nu. U ziet nu het resultaat van deze zoekopdracht.
Voor de Kaski Jaarrapportage heeft u alleen de aantallen nodig.
Onder in het scherm ziet u een regel waar u ziet hoeveel pagina’s het zoekresultaat heeft.
Zet een vinkje bij Toon records en klik op het trechtertje zodat er geen streepje meer staat."
343;DocBase / Exact;Tweeweg-authenticatie DocBase;Tweeweg-authenticatie DocBase;Tweeweg-authenticatie;Tweeweg-authenticatie;;FAQ;"Tweeweg-authenticatie
Tweeweg-authenticatie DocBase (versie 1.6)

Inhoud
1.
Waarom is tweeweg-authenticatie nodig?................................................................................................. 1
2.
Wat is tweeweg-authenticatie?.................................................................................................................. 1
3.
Moet ik iedere keer op twee manieren inloggen? ..................................................................................... 1
4.
Hoe werkt het? ........................................................................................................................................... 2"
344;DocBase / Exact;Tweeweg-authenticatie DocBase;Tweeweg-authenticatie;4.1. Tweeweg-authenticatie met code via de Google Authenticator-app ......................................................... 2;4.1. Tweeweg-authenticatie met code via de Google Authenticator-app ......................................................... 2;;FAQ;"4.1.1
Installeren van Google Authenticator................................................................................................. 2
4.1.2.
Instellen tweeweg-authenticatie met code via Google Authenticator ............................................... 3
4.1.3.
Regulier gebruik van tweeweg-authenticatie ..................................................................................... 8"
345;DocBase / Exact;Tweeweg-authenticatie DocBase;Tweeweg-authenticatie;4.2. Tweeweg-authenticatie met code via e-mail ............................................................................................. 9;4.2. Tweeweg-authenticatie met code via e-mail ............................................................................................. 9;;FAQ;"5.
U heeft een nieuwe smartphone .............................................................................................................. 10
6.
Nieuwe logincode - opnieuw koppelen Authenticator met DocBase ....................................................... 11
7.
Verwijderen van een koppeling IPhone: .................................................................................................. 11"
346;DocBase / Exact;Tweeweg-authenticatie DocBase;Tweeweg-authenticatie DocBase;1. Waarom is tweeweg-authenticatie nodig?;1. Waarom is tweeweg-authenticatie nodig?;;FAQ;"Als gebruiker van DocBase heeft u toegang tot (gevoelige) persoonsgegevens van leden die in
DocBase zijn opgeslagen. Iedereen die toegang heeft tot deze informatie heeft ervoor getekend dat
hij/zij vertrouwelijk met deze gegevens om zal gaan. Dit niet alleen omdat wij respect hebben voor
de gegevens van onze parochianen, maar ook omdat we het wettelijk verplicht zijn. Een zogenaamd
data-lek kan grote gevolgen voor uw parochie en voor de Nederlandse Kerkprovincie hebben.

Om de veiligheid van de gegevens zo goed mogelijk tegen ongeoorloofd gebruik te beschermen,
wordt bij het inloggen in DocBase de methode van tweeweg- authenticatie gebruikt. Voor diegenen
die ook Exact Online gebruiken, zal dit zeer herkenbaar zijn."
347;DocBase / Exact;Tweeweg-authenticatie DocBase;Tweeweg-authenticatie DocBase;2. Wat is tweeweg-authenticatie?;2. Wat is tweeweg-authenticatie?;;FAQ;"Bij tweeweg-authenticatie wordt naast een gebruikersnaam en wachtwoord een tweede manier
gebruikt om de persoon die probeert in het systeem in te loggen te identificeren. Hierbij wordt
gebruik gemaakt van kennis en bezit. Kennis: u weet wat uw gebruikersnaam en uw wachtwoord is.
Bezit: u heeft een telefoon of een mailbox waar extra gegevens naar toe gestuurd worden om in het
systeem te kunnen komen."
348;DocBase / Exact;Tweeweg-authenticatie DocBase;Tweeweg-authenticatie DocBase;3. Moet ik iedere keer op twee manieren inloggen?;3. Moet ik iedere keer op twee manieren inloggen?;;FAQ;"Wij beseffen dat, ondanks dat het om veiligheidsredenen van het grootste belang is, u als
gebruiker belast wordt met extra handelingen om te kunnen inloggen en werken met DocBase. Om
te voorkomen dat u te vaak extra handelingen moet uitvoeren, is de tweeweg-authenticatiefunctie
van DocBase zodanig gebouwd dat in de meeste gevallen niet om de extra code zal worden
gevraagd en het in veel gevallen daardoor lijkt alsof de tweeweg-authenticatie-functie niet actief
is.

Tweeweg-authenticatie

Eenmaal geauthentiseerd blijft de code voor de PC waarop u bent ingelogd, actief gedurende een
maand of totdat expliciet wordt uitgelogd uit DocBase.
Bij inloggen in DocBase vanaf een ander apparaat, zal opnieuw om de extra code worden gevraagd."
349;DocBase / Exact;Tweeweg-authenticatie DocBase;Tweeweg-authenticatie DocBase;2. De code wordt bij het inloggen in DocBase per e-mail naar u toe gestuurd;2. De code wordt bij het inloggen in DocBase per e-mail naar u toe gestuurd;;FAQ;"Activering zoals hieronder beschreven is een éénmalige handeling die u voor iedere inlogcode
éénmaal moet uitvoeren. Daarna volstaat het ingeven van de ontvangen code nadat u uw
gebruikersnaam en wachtwoord heeft ingegeven."
350;DocBase / Exact;Tweeweg-authenticatie DocBase;2. De code wordt bij het inloggen in DocBase per e-mail naar u toe gestuurd;4.1.1 Installeren van Google Authenticator;4.1.1 Installeren van Google Authenticator;;FAQ;Installeer Google-Authenticator app op uw smartphone via de Apple app-store of Google Play.
351;DocBase / Exact;Tweeweg-authenticatie DocBase;Tweeweg-authenticatie DocBase;1. Open de store en klik op zoeken. Typ Google Authenticator in het zoekveld;1. Open de store en klik op zoeken. Typ Google Authenticator in het zoekveld;;Procedure;"2.
Klik op Download

Na deze stap kunt u gebruik maken van de Google Authenticator om toegang te krijgen tot DocBase.
Om dat te kunnen doen, gaat u nu eerst terug naar DocBase.

Tweeweg-authenticatie"
352;DocBase / Exact;Tweeweg-authenticatie DocBase;1. Open de store en klik op zoeken. Typ Google Authenticator in het zoekveld;4.1.2. Instellen tweeweg-authenticatie met code via Google Authenticator;4.1.2. Instellen tweeweg-authenticatie met code via Google Authenticator;;Procedure;"Nadat u Google Authenticator op uw smartphone hebt geïnstalleerd, kunt u inloggen op DocBase.
Deze stappen moeten per inlogcode worden herhaald."
353;DocBase / Exact;Tweeweg-authenticatie DocBase;Tweeweg-authenticatie DocBase;2. Vul uw gebruikersnaam en wachtwoord in en klik op “Inloggen” (of kies <ENTER>);2. Vul uw gebruikersnaam en wachtwoord in en klik op “Inloggen” (of kies <ENTER>);;Procedure;"Nadat u uw gebruikersnaam en wachtwoord heeft ingevuld wordt het tweeweg-
authenticatie-scherm geopend. Zie hiervoor het volgende schermvoorbeeld1.

*1 Op uw scherm verschijnt ook de mogelijkheid om via SMS een code te ontvangen. Deze mogelijkheid is voor de parochieomgeving niet
geactiveerd i.v.m. de bijkomende kosten van het verzenden van een SMS."
354;DocBase / Exact;Tweeweg-authenticatie DocBase;Tweeweg-authenticatie DocBase;3. Zodra bovenstaande scherm wordt getoond, waar wordt gevraagd om een code in te voeren,;3. Zodra bovenstaande scherm wordt getoond, waar wordt gevraagd om een code in te voeren,;;FAQ;"heeft u ook een e-mail ontvangen van DocBase.

LET OP!! Voor het inrichten van Google Authenticator wordt ALTIJD eerste een email naar
het mailadres gestuurd dat aan uw DocBase gebruikerscode is gekoppeld!!

Tweeweg-authenticatie

In bovenstaand schermvoorbeeld is een dergelijke e-mail getoond waarin u de
authenticatiecode kunt lezen. (Hierboven getoonde code is slechts een voorbeeld; gebruik de
code die u in de mail hebt ontvangen.)"
355;DocBase / Exact;Tweeweg-authenticatie DocBase;Tweeweg-authenticatie DocBase;4. Vul de code uit deze e-mail in. Klik vervolgens NIET op “OK”, maar klik op het icoontje met het;4. Vul de code uit deze e-mail in. Klik vervolgens NIET op “OK”, maar klik op het icoontje met het;;Procedure;"blauwe tandwieltje achter “Google Authenticator”.

Nadat u op het tandwiel-icoontje heeft geklikt wordt het scherm uitgebreid en ziet het er als
volgt uit (hieronder is weer een voorbeeld code gebruikt; gebruik de aan u verstrekte code):

Tweeweg-authenticatie"
356;DocBase / Exact;Tweeweg-authenticatie DocBase;Tweeweg-authenticatie DocBase;5. Klik op Set-up om het instellen van Google Authenticator te starten;5. Klik op Set-up om het instellen van Google Authenticator te starten;;Procedure;"Er wordt een scherm met een QR-code (barcode) getoond.

Gebruikt u Google Authenticator al, ga dan veder met punt 8."
357;DocBase / Exact;Tweeweg-authenticatie DocBase;Tweeweg-authenticatie DocBase;7. Klik/tik op Aan de slag (onderaan het scherm). Het volgende scherm verschijnt:;7. Klik/tik op Aan de slag (onderaan het scherm). Het volgende scherm verschijnt:;;Procedure;"Klik op Code toevoegen. Het volgende scherm verschijnt:

Ga verder met punt 10.

Tweeweg-authenticatie"
358;DocBase / Exact;Tweeweg-authenticatie DocBase;Tweeweg-authenticatie DocBase;8. Gebuikt u Google Authenticator al, dan verschijnt er een scherm als hieronder waarin u de;8. Gebuikt u Google Authenticator al, dan verschijnt er een scherm als hieronder waarin u de;;FAQ;systemen vindt waarvoor u Google Authenticator gebruikt.
359;DocBase / Exact;Tweeweg-authenticatie DocBase;Tweeweg-authenticatie DocBase;10. Klik/tik op QR-code scannen;10. Klik/tik op QR-code scannen;;FAQ;"Mogelijk vraagt de app op enig moment nog om toegang tot de camera. Deze toegang is
nodig om de procedure af te kunnen ronden.

Tweeweg-authenticatie"
360;DocBase / Exact;Tweeweg-authenticatie DocBase;Tweeweg-authenticatie DocBase;11. Verleen deze toegang en richt vervolgens de camera op het beeldscherm van uw computer;11. Verleen deze toegang en richt vervolgens de camera op het beeldscherm van uw computer;;FAQ;"met de QR-code om deze te scannen. Zorg dat de QR-code binnen de groene lijnen op uw
scherm valt."
361;DocBase / Exact;Tweeweg-authenticatie DocBase;Tweeweg-authenticatie DocBase;13. Tik de 6-cijferige code, welke door Google Authenticator wordt getoond, in op het;13. Tik de 6-cijferige code, welke door Google Authenticator wordt getoond, in op het;;Procedure;"inlogscherm van DocBase en klik op OK.

U bent nu geauthentiseerd via Google Authenticator en kunt nu gebruik maken van DocBase.

Let op: de code die u te zien krijgt is een voorbeeld en daarmee een andere code dan de hierboven
vermelde code. U moet de code die uw smartphone geeft na het scannen van de code invoeren, niet
bovenstaande code.

Tip: Gebruikt u meerdere login codes voor DocBase, dan kunt u de omschrijving onder het nummer
aanpassen. Veeg de betreffende regel naar links. Er verschijnt nu een pennetje in een blauw vakje.
Klik op het pennetje en pas de naam aan. Klik hierna op Opslaan."
362;DocBase / Exact;Tweeweg-authenticatie DocBase;13. Tik de 6-cijferige code, welke door Google Authenticator wordt getoond, in op het;4.1.3. Regulier gebruik van tweeweg-authenticatie;4.1.3. Regulier gebruik van tweeweg-authenticatie;;FAQ;"Wanneer u opnieuw wilt authentiseren via Google Authenticator, dan is het instellen niet meer
nodig. Zodra u Google Authenticator op de telefoon opent, zal de code worden getoond welke u kunt
gebruiken. Deze code is slechts beperkte tijd geldig (dit kunt u zien aan de cirkel achter de code die
langzaam verdwijnt), dus de code wordt regelmatig vernieuwd. Nadat de cirkel is verdwenen, is de
code niet meer geldig en komt er een nieuwe code in beeld. Wacht dus niet te lang met het invullen
van de code.
Heeft u meerdere inlogcodes voor DocBase, verschijnt er een regel per inlogcode. U kunt de te
gebruiken code herkennen aan de gebruikersnaam waarmee u in DocBase wilt aanmelden.

Tweeweg-authenticatie"
363;DocBase / Exact;Tweeweg-authenticatie DocBase;Tweeweg-authenticatie DocBase;2. Vul uw gebruikersnaam en wachtwoord in en klik op Inloggen (of kies <ENTER>);2. Vul uw gebruikersnaam en wachtwoord in en klik op Inloggen (of kies <ENTER>);;Procedure;"Nadat u uw gebruikersnaam en wachtwoord heeft ingevuld wordt het tweeweg-
authenticatie-scherm geopend. Zie hiervoor het volgende schermvoorbeeld.

Zodra bovenstaand scherm wordt getoond heeft DocBase ook al een e-mail naar uw
mailadres gestuurd met daarin de code."
364;DocBase / Exact;Tweeweg-authenticatie DocBase;Tweeweg-authenticatie DocBase;4. Vul de code uit de e-mail in en klik op “OK’;4. Vul de code uit de e-mail in en klik op “OK’;;FAQ;"U bent nu ingelogd in DocBase.

Tweeweg-authenticatie"
365;DocBase / Exact;Tweeweg-authenticatie DocBase;Tweeweg-authenticatie DocBase;5. U heeft een nieuwe smartphone;5. U heeft een nieuwe smartphone;;Procedure;"De koppeling tussen Google Authenticator en DocBase moet opnieuw worden gemaakt.
-
Als de oude telefoon het nog doet kunt u de account(s) eenvoudig overzetten naar de
nieuwe telefoon;
Klik bij beide telefoons op de 3 streepjes linksboven in de Google Authenticator-app

Klik op Accounts overzetten;

Klik bij de oude telefoon op Accounts exporteren en bij de nieuwe telefoon op Accounts
importeren;
U kunt nu met behulp van de gegenereerde QR-code de accounts omzetten.

-
Indien de oude telefoon het niet meer doet of kwijt is dan dient u de account(s) opnieuw
toe te voegen. Volg daarvoor de stappen in hoofdstuk 4.1 Tweeweg-authenticatie met code
via de Google Authenticator-app.

Tweeweg-authenticatie"
